订单总价,供应商名称
102359,深圳英斯图科技有限公司
6275.86,科晶智达科技有限公司
100,广州楷祥电子产品有限公司
71586.89,珠海市铠斯创科贸有限公司
41068.48,珠海市凯斯创科贸有限公司
1110,深圳市福田区欧尔特电线经营部
145631.672,广州晶东贸易有限公司
44409.54,东莞京东利昇贸易有限公司
21565,深圳市昱联电子商行
217,龙泉银鑫竹业有限公司
2380.1,济宁百川化工有限公司
142839.34,深圳市泽拓生物科技有限公司
16302.5,北京华威锐科化工有限公司
21400,深圳市百安生化技术有限公司
401.4,海门市罗克实验器材经营部
2250,上海恒安聚氨酯股份有限公司
2950,武汉远成共创科技有限公司
6056.57,东莞珠峰生物科技有限公司
217,龙泉银鑫竹叶有限公司
5199.75,济宁市天乐工艺品有限公司
191,深圳市龙岗区平湖永恒达化工原料商行
72,义乌市仿善日用百货有限公司
652,广州瑶心蔓科技有限公司
225,南通市现代印务有限责任公司
1312,深圳市伽瑞光通讯有限公司
6103,济宁市乐天工艺品有限公司
278857.9,深圳米思生物科技有限公司
977018.862799,索雷博光电科技（上海）有限公司
8700,深圳市北杰新能源科技有限公司
351703.752949,深圳市益百顺科技有限公司
7552.5,广州艾基生物技术有限公司
228251.4,深圳瑞景生物科技有限公司
56587.75,深圳市万顺旭有限公司
612,无锡成帅贸易有限公司
92586.29,深圳市博莱恩科技有限公司
7110,深圳市文川实业有限公司
5904,上海思梓生物科技有限公司
302686.69,西格玛奥德里奇（上海）贸易有限公司
31811.58,吉尔生化（上海）有限公司
960,河北成利朋电气设备有限公司
242.99,昆山市玉山镇隆圣宝电子材料经营部
65,深圳市凯信发科技有限公司
194,珠海斯科达科技有限公司
2246,徐州梵川仪器仪表有限公司
680,杭州联科生物技术股份有限公司
450,徐州鑫日仪器仪表有限公司
259711,深圳市凌达生物科技有限公司宝安分公司
14113.98,二维新材料（深圳）有限公司
314,苏州荣磊光电科技有限公司
8.6,深圳市百瑞特紧固件有限公司
119694.27,Thorlabs
5600,深圳市南山区安丰电子科技商贸行
33405.81,上海权洋生物科技有限公司
920,北京诺博莱德科技有限公司
29584,迈格博（北京）生物技术有限公司
304055.3,广州新晋生物科技有限公司
37667.5,上海毕傲图生物科技有限公司
3500,东海县晨天石英制品有限公司
11500,苏州复纳电子科技有限公司
61332,深圳市晟泰实验室设备有限公司
11220,深圳赛泰克生物科技有限公司
538359.94,深圳市赛泰克生物科技有限公司
87154.3,三人行医药科技（深圳）有限公司
156083.77,苏州吉玛基因股份有限公司
123,深圳市亿潮网络科技有限公司
7900,广州中训篮球体育发展有限公司
2950,广州中训篮球发展有限公司
8900,广州中旬篮球体育发展有限公司
2400,深圳市福田区赛格电子市场科跃微电子经营部
64540,深圳市新威新能源技术有限公司
2140,深圳市鑫明旭有限公司
59400,深圳华源美生物科技有限公司
22169.5,上海麦克林生化科技有限公司
4577.55,深圳市绿联科技有限公司
21900,深圳市博瑞成电子有限公司
28.5,深圳中大融通投资有限公司
341,易络盟电子(中国）有限公司
39859.05,易络盟电子（中国）有限公司
237,深圳市泰义裕商贸有限公司
78.8,江苏鼎丰工业科技有限公司
170,广州市星纬商贸有限公司
570,深圳市恒兴达仓储设备有限公司
204,广州镌恒仪器设备有限公司
580,东莞市力欧五金制品有限公司
100,东莞市长安赛升五金工具店
25202,南山区昱良数码
207844,深圳市海迅建材装饰园艺工程有限公司
22068,深圳市南山区晨翔鑫数码
5050,南山区新视宝电子经营部
75669.87,北京百灵威科技有限公司
52558,南京二维纳米科技有限公司
66600,广州承墨贸易有限公司
46000,上海华强实业股份有限公司
306654.26,深圳市凯联生物技术有限公司
502,北京必佳品鉴科贸有限公司
358725.59,深圳市科维实验室装备有限公司
5540,上海功成勘察设备有限公司
17377.48,上海河森电气有限公司
1359,阿法埃莎（中国）化学有限公司
39,深圳市宝安区新安智商达电子商行
200,上海岛丰电子有限公司
80.5,上海誉谦贸易中心
13100,苏州镭谱精密仪器有限公司
2700,深圳市博美工业材料有限公司
600,清华同方
18980,北京华阜康生物科技股份有限公司
17680,福建福晶科技股份有限公司
29575,献县洋海试验仪器经营部
268283.64,生工生物工程（上海）股份有限公司
1184,昆明市官渡区明阳中药材经营部
6153.6,合肥易铭科学仪器有限公司
107643,广州恒洋电子科技有限公司
15000,嵊州市博实贸易有限公司
64.8,安庆市芸斯特商贸有限公司
5560,广州本德生物科技有限公司
3480.07,深圳市创客达科技有限公司
570,深圳市伽马科技发展有限公司
2883,上海圣科仪器设备有限公司
35.5,上海畅意电子商务有限公司
59.99,义乌初灿家居用品有限公司
190.29,深圳市米占科技有限公司
26680.01,深圳市瑞美装饰工程有限公司
46753.5,深圳市嘉立创科技发展有限公司
34440,深圳市建宏达防水装饰工程有限公司
17068.5,益阳市赫山区广测电子有限公司
44,安庆槟果贸易有限公司
61.24,南京沃森乐器有限公司
164.2,杭州浩心电子商务有限公司
445.19,武汉蓝色林海博模型有限公司
670.06,上海锋拓商贸有限公司
925,常州水木源电子商务有限公司
3178,深圳市宝安区西乡福泽五金配件商行
138090,深圳市大鹏新区伟鹏电器修理店
51722.85,深圳市百康科学仪器有限公司
82919.56,深圳市贺腾达科技有限公司
104585.5,深圳瑞真生物技术有限公司
138998,深圳市满意科技有限公司
41861.63,深圳市诺维奇科技有限公司
4015.06,上海凡荷贸易有限公司
610,广州诚仪诺仪器有限公司
54300,绵阳卓凡商贸有限公司
15205.11,西格玛奥德里奇贸易有限公司
184.2,宿迁迪普瑞斯照明电器有限公司
40775,深圳市如茂科技有限公司
340,凌源市博华玛瑙制品厂
246,邹平悦维新材料有限公司
69311.5,深圳市联一达科技有限公司
9750,深圳市晶格纳米科技有限公司
255,北京悠然逸森科技有限公司
1159.12,湖南好护士医疗器械连锁经营有限公司
35100,深圳市赛格电子市场特佳电子经营部
22939,索雷博光电科技（科技）有限公司
2708.95,袁雷博光电科技（上海）有限公司
1430,深圳市全凯商贸有限公司
28238,深圳市福田区金飞扬电脑经营部
2200,深圳市允升吉电子有限公司
1227,广东启诚铝业
3900,古塔区康泰物资经销处
2750,深圳市南山区铭龙电子经营部
2058.8,深圳宜家家居有限公司
28600,深圳市科瑞斯特电子有限公司
125958.14,深圳市兰贝特科技有限公司
750,"LEICA 819窄刀片 50片/盒，80*8mm(长*宽)"
1820,10MG
47.2,杭州长城机电市场晏平五金机电经营部
231,扬州奥起电子商务有限公司
51,台州藤原工具有限公司
117,苍南县龙港快发纸塑制品厂
199.95,江都区苏源教学仪器厂
150,北京乾铄有色金属制品有限公司
1200,上海林毅贸易有限公司
148.52,北京立兴伟业科技有限公司
64.5,深圳山泽科技有限公司
93,上海起帆电子商务有限公司
63476,广州敏腾生物科技有限责任公司
1720,温州启禾文化用品有限公司
375,东莞市万江倍尔净水处理设备经营部
1150,埃朗科技国际贸易有限公司
40,东莞市盈才五金电子有限公司
770,武汉海创电子股份有限公司
375140,深圳市达科为生物技术股份有限公司
