订单数量,供应商名称
11,深圳英斯图科技有限公司
2,科晶智达科技有限公司
1,广州楷祥电子产品有限公司
10,珠海市铠斯创科贸有限公司
7,珠海市凯斯创科贸有限公司
1,深圳市福田区欧尔特电线经营部
291,广州晶东贸易有限公司
116,东莞京东利昇贸易有限公司
8,深圳市昱联电子商行
1,龙泉银鑫竹业有限公司
3,济宁百川化工有限公司
11,深圳市泽拓生物科技有限公司
13,北京华威锐科化工有限公司
2,深圳市百安生化技术有限公司
2,海门市罗克实验器材经营部
1,上海恒安聚氨酯股份有限公司
2,武汉远成共创科技有限公司
5,东莞珠峰生物科技有限公司
1,龙泉银鑫竹叶有限公司
2,济宁市天乐工艺品有限公司
1,深圳市龙岗区平湖永恒达化工原料商行
2,义乌市仿善日用百货有限公司
2,广州瑶心蔓科技有限公司
3,南通市现代印务有限责任公司
3,深圳市伽瑞光通讯有限公司
3,济宁市乐天工艺品有限公司
39,深圳米思生物科技有限公司
149,索雷博光电科技（上海）有限公司
6,深圳市北杰新能源科技有限公司
72,深圳市益百顺科技有限公司
10,广州艾基生物技术有限公司
54,深圳瑞景生物科技有限公司
10,深圳市万顺旭有限公司
2,无锡成帅贸易有限公司
26,深圳市博莱恩科技有限公司
4,深圳市文川实业有限公司
3,上海思梓生物科技有限公司
126,西格玛奥德里奇（上海）贸易有限公司
12,吉尔生化（上海）有限公司
1,河北成利朋电气设备有限公司
3,昆山市玉山镇隆圣宝电子材料经营部
1,深圳市凯信发科技有限公司
1,珠海斯科达科技有限公司
5,徐州梵川仪器仪表有限公司
1,杭州联科生物技术股份有限公司
2,徐州鑫日仪器仪表有限公司
38,深圳市凌达生物科技有限公司宝安分公司
7,二维新材料（深圳）有限公司
1,苏州荣磊光电科技有限公司
1,深圳市百瑞特紧固件有限公司
10,Thorlabs
1,深圳市南山区安丰电子科技商贸行
10,上海权洋生物科技有限公司
1,北京诺博莱德科技有限公司
1,迈格博（北京）生物技术有限公司
51,广州新晋生物科技有限公司
7,上海毕傲图生物科技有限公司
2,东海县晨天石英制品有限公司
1,苏州复纳电子科技有限公司
11,深圳市晟泰实验室设备有限公司
1,深圳赛泰克生物科技有限公司
45,深圳市赛泰克生物科技有限公司
36,三人行医药科技（深圳）有限公司
34,苏州吉玛基因股份有限公司
1,深圳市亿潮网络科技有限公司
1,广州中训篮球体育发展有限公司
1,广州中训篮球发展有限公司
1,广州中旬篮球体育发展有限公司
1,深圳市福田区赛格电子市场科跃微电子经营部
5,深圳市新威新能源技术有限公司
1,深圳市鑫明旭有限公司
2,深圳华源美生物科技有限公司
27,上海麦克林生化科技有限公司
20,深圳市绿联科技有限公司
1,深圳市博瑞成电子有限公司
1,深圳中大融通投资有限公司
1,易络盟电子(中国）有限公司
22,易络盟电子（中国）有限公司
1,深圳市泰义裕商贸有限公司
1,江苏鼎丰工业科技有限公司
1,广州市星纬商贸有限公司
1,深圳市恒兴达仓储设备有限公司
2,广州镌恒仪器设备有限公司
1,东莞市力欧五金制品有限公司
1,东莞市长安赛升五金工具店
9,南山区昱良数码
28,深圳市海迅建材装饰园艺工程有限公司
8,深圳市南山区晨翔鑫数码
2,南山区新视宝电子经营部
34,北京百灵威科技有限公司
17,南京二维纳米科技有限公司
8,广州承墨贸易有限公司
2,上海华强实业股份有限公司
56,深圳市凯联生物技术有限公司
1,北京必佳品鉴科贸有限公司
33,深圳市科维实验室装备有限公司
2,上海功成勘察设备有限公司
4,上海河森电气有限公司
3,阿法埃莎（中国）化学有限公司
1,深圳市宝安区新安智商达电子商行
1,上海岛丰电子有限公司
1,上海誉谦贸易中心
2,苏州镭谱精密仪器有限公司
1,深圳市博美工业材料有限公司
1,清华同方
3,北京华阜康生物科技股份有限公司
3,福建福晶科技股份有限公司
4,献县洋海试验仪器经营部
109,生工生物工程（上海）股份有限公司
1,昆明市官渡区明阳中药材经营部
5,合肥易铭科学仪器有限公司
10,广州恒洋电子科技有限公司
2,嵊州市博实贸易有限公司
2,安庆市芸斯特商贸有限公司
3,广州本德生物科技有限公司
1,深圳市创客达科技有限公司
1,深圳市伽马科技发展有限公司
3,上海圣科仪器设备有限公司
1,上海畅意电子商务有限公司
1,义乌初灿家居用品有限公司
3,深圳市米占科技有限公司
2,深圳市瑞美装饰工程有限公司
81,深圳市嘉立创科技发展有限公司
7,深圳市建宏达防水装饰工程有限公司
