订单数量,供应商ID,供应商名称,联系人,联系电话
173,576,北京百灵威科技有限公司,张䶮浩,010-82848833
6,586,北京伊诺凯科技有限公司,王爱东,13810185497
232,596,北京华威锐科化工有限公司,张立超,010-57411838
64,652,上海柏卡化学技术有限公司,黄燕华,17521351727
215,699,上海毕得医药科技有限公司,刘璐,021-61629020
10,725,盘锦研峰科技有限公司,李二磊,17800804092
22,729,北京华夏远洋科技有限公司,许玉喜,15300268966
4,740,长春三邦医药科技有限公司,马晶,0431-81907467
4,757,北京鸿跃创新科技有限公司,崔建杰,13121260105
3,803,大赛璐药物手性技术（上海）有限公司,张徐豪(化学品）/黄琛珏（耗材）,15921403732
32,935,上海翊圣生物科技有限公司,李卫华,18911356468
4,940,上海造孚新材料科技有限公司,郑浩,15214390385
6,1064,天津科仪嘉欣科技有限公司,吴文杰,18920536532
40,1201,来买演示供应商,来买,83719731
1,1539,上海亚亦生物科技有限公司,陈平,021-37773473
21,1758,上海韶远试剂有限公司,于志龙,17717077259
53,2352,selleck（中国，上海蓝木化工有限公司）,黄淑君,17317854027
1,2663,上海韶远试剂有限公司,万美芹,18019717756
7,3002,北京乐博生物科技有限公司,刘兵,13488685850
23,3166,北京中兴百瑞技术有限公司,李佩霞,15901063582
8,3200,北京新兴百瑞技术有限公司,张立春,13910350239
162,3778,上海迈瑞尔化学技术有限公司,周薇,18621169109
3,3784,上海腾准生物科技有限公司,刘琴,021-60541251
793,4332,上海阿拉丁生化科技股份有限公司,张瑞琦,18521732816
13,4758,海门市辰泰实验器材经营部,杜海东,15716280817
41,4972,上海笛柏生物科技有限公司,刘爱平,021-54359730
3,5573,北京浩赛科技有限公司,王素媛,13012286602
5,5680,上海柯雷生物科技有限公司,李迪,13248085519
12,5700,西安宝莱特光电科技有限公司,谢亚青,15902919119
2,5739,上海睿铂赛生物科技有限公司,周子煜,18221516624
3,5939,北京赛智创业科技有限公司,王海磊,13552515331
95,6052,上海碧云天生物技术有限公司,蒋永梅,18962882820
1,6069,西安宝莱特光电科技有限公司,张赵伟,18691946652
5,6308,上海皓鸿生物医药科技有限公司,马女士,021-60897701
8,6708,环科恒创（天津）科技有限公司,韩阳光,18920312210
68,6807,上海易势化工有限公司,廖兆宇,17607185194
127,7259,艾览（上海）化工科技有限公司,黄丽琴,18620710367
53,7348,北京贝洛生物科技有限公司,杨昭,18310789706
15,7367,南通飞宇生物科技有限公司,陈飞,13814659599
389,7415,深圳市铭科科技有限公司,胡凤萍,13510363788
6,7427,南京草本源生物科技有限公司,杨超,18705154510
1,7467,深圳市锐碘电子仪器设备有限公司,李美霏,13640094817
1,7469,深圳市柏基仪器设备有限公司,陈鹏,18682104256
281,7470,深圳辉诺生物科技有限公司,李玉情,13006636686
4,7471,深圳鹏行医疗设备科技有限公司,陈鹏,18682104256
80,7472,深圳赛德杰科技有限公司,郑友标,13702723856
11,7474,深圳今斯生物科技有限公司,温敏仪,13710309174
2,7475,深圳奥格生物科技有限公司,郭浩,18617135171
32,7484,深圳市天问实业有限公司,邱瑞宏,18312561017
7,7497,广州市烨健医疗器械有限公司,林之敏,13902255328
70,7499,深圳市智达源实验器材有限公司,黄国超,13823333297
403,7502,深圳市博莱恩科技有限公司,李小姐,15728643396
